work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel-2, 10, 200, 10, 10, 15.29, 123.88, 19.26863059, , 0, , 63.0
intel-2, 10, 200, 10, 10, 20.74, 164.69, 26.09170367, 13, 6.82322800000003, 24368, 62.0
base-intel-2, 10, 200, 10, 10, 15.20, 120.36, 19.01357714, , 0, , 61.0
intel-2, 10, 200, 10, 10, 20.66, 167.89, 26.14327976, 31, 2.471833, 57560, 61.0
base-intel-2, 10, 200, 10, 10, 19.31, 121.12, 19.24818420, , 0, , 64.0
intel-2, 10, 200, 10, 10, 20.86, 168.30, 26.38895732, 21, 5.10592100000002, 39044, 59.0
base-intel-2, 10, 200, 10, 10, 15.68, 122.85, 19.50776546, , 0, , 62.0
intel-2, 10, 200, 10, 10, 20.44, 168.33, 25.94758612, 14, 5.970304, 26262, 62.0
base-intel-2, 10, 200, 10, 10, 15.80, 125.09, 19.42234586, , 0, , 62.0
intel-2, 10, 200, 10, 10, 20.20, 165.34, 26.17081627, 33, 4.42695900000001, 61134, 62.0
base-intel-2, 10, 200, 10, 10, 15.43, 121.99, 19.40457829, , 0, , 62.0
intel-2, 10, 200, 10, 10, 20.69, 168.63, 26.27001436, 22, 4.58415600000001, 41111, 63.0
base-intel-2, 10, 200, 10, 10, 14.93, 122.59, 19.06412996, , 0, , 61.0
intel-2, 10, 200, 10, 10, 20.99, 168.88, 26.17090945, 16, 6.76554800000002, 30053, 60.0
base-intel-2, 10, 200, 10, 10, 15.18, 121.19, 19.05540231, , 0, , 62.0
intel-2, 10, 200, 10, 10, 20.84, 167.22, 26.18612627, 24, 4.686556, 44712, 59.0
base-intel-2, 10, 200, 10, 10, 15.69, 125.37, 19.35091207, , 0, , 60.0
intel-2, 10, 200, 10, 10, 20.61, 167.54, 26.09960015, 13, 5.321684, 24378, 58.0
base-intel-2, 10, 200, 10, 10, 15.36, 122.64, 19.35005006, , 0, , 60.0
intel-2, 10, 200, 10, 10, 20.85, 166.69, 26.11858427, 15, 6.21754800000002, 28067, 65.0
base-intel-2, 10, 200, 10, 10, 15.27, 121.93, 19.15558930, , 0, , 63.0
intel-2, 10, 200, 10, 10, 21.31, 171.28, 26.61880302, 48, 3.85357800000003, 88908, 62.0
base-intel-2, 10, 200, 10, 10, 15.62, 122.06, 19.14125704, , 0, , 63.0
intel-2, 10, 200, 10, 10, 20.78, 169.87, 26.29013914, 15, 7.57381700000002, 28088, 62.0
base-intel-2, 10, 200, 10, 10, 16.47, 124.20, 19.67176377, , 0, , 63.0
intel-2, 10, 200, 10, 10, 21.13, 165.69, 26.31342601, 22, 4.674756, 41003, 61.0
base-intel-2, 10, 200, 10, 10, 15.65, 121.93, 19.25762664, , 0, , 61.0
intel-2, 10, 200, 10, 10, 20.98, 168.61, 26.17941178, 17, 5.885537, 31540, 59.0
base-intel-2, 10, 200, 10, 10, 15.21, 125.92, 19.10216131, , 0, , 60.0
intel-2, 10, 200, 10, 10, 20.63, 168.27, 26.18877108, 22, 5.06751700000001, 40856, 60.0
base-intel-2, 10, 200, 10, 10, 15.37, 124.24, 19.07338417, , 0, , 58.0
intel-2, 10, 200, 10, 10, 21.13, 169.51, 26.55467416, 20, 5.22540600000002, 37114, 61.0
base-intel-2, 10, 200, 10, 10, 15.29, 120.65, 19.07566388, , 0, , 61.0
intel-2, 10, 200, 10, 10, 21.29, 168.75, 26.58292448, 16, 4.84086300000001, 29912, 62.0
base-intel-2, 10, 200, 10, 10, 15.65, 122.23, 19.29745573, , 0, , 62.0
intel-2, 10, 200, 10, 10, 20.64, 167.57, 26.12290200, 22, 5.467375, 40983, 66.0
base-intel-2, 10, 200, 10, 10, 15.68, 124.05, 19.39275730, , 0, , 62.0
intel-2, 10, 200, 10, 10, 21.13, 170.72, 26.45047812, 17, 4.60526700000003, 31784, 63.0
base-intel-2, 10, 200, 10, 10, 15.20, 120.43, 19.05872844, , 0, , 61.0
intel-2, 10, 200, 10, 10, 21.18, 170.53, 26.46841534, 16, 7.88769200000002, 29870, 60.0
