work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-hc-64-3, 10, 400, 25, 10, 223.21, 4.31129762, , 0, , 40.8, 35.6
hc-64-3, 10, 400, 25, 10, 397.93, 7.37573333, 30, 12.733743, 364664, 39.4, 35.9
base-hc-64-3, 10, 400, 25, 10, 545.11, 5.90359679, , 0, , 46.8, 43.0
hc-64-3, 10, 400, 25, 10, 982.14, 10.23495398, 56, 7.076739, 671899, 45.6, 43.0
base-hc-64-3, 10, 400, 25, 10, 558.40, 5.98537122, , 0, , 51.0, 47.1
hc-64-3, 10, 400, 25, 10, 973.95, 10.23238197, 43, 5.21197500000001, 516118, 48.0, 44.5
base-hc-64-3, 10, 400, 25, 10, 568.80, 5.98581164, , 0, , 45.6, 44.0
hc-64-3, 10, 400, 25, 10, 948.72, 10.02061749, 41, 10.427537, 494972, 47.6, 44.5
base-hc-64-3, 10, 400, 25, 10, 379.59, 4.93922581, , 0, , 46.1, 44.0
hc-64-3, 10, 400, 25, 10, 708.72, 8.79532438, 64, 5.226798, 773565, 44.8, 42.2
base-hc-64-3, 10, 400, 25, 10, 394.01, 5.05544372, , 0, , 46.2, 46.1
hc-64-3, 10, 400, 25, 10, 631.93, 8.33461130, 41, 9.507469, 494666, 47.4, 47.1
base-hc-64-3, 10, 400, 25, 10, 248.57, 4.36132494, , 0, , 43.5, 40.4
hc-64-3, 10, 400, 25, 10, 418.63, 7.25263604, 40, 9.72046, 481605, 44.2, 41.6
base-hc-64-3, 10, 400, 25, 10, 250.52, 4.32976412, , 0, , 36.4, 34.0
hc-64-3, 10, 400, 25, 10, 426.24, 7.30116120, 32, 10.557889, 386633, 37.4, 34.9
base-hc-64-3, 10, 400, 25, 10, 251.18, 4.31298785, , 0, , 40.1, 33.4
hc-64-3, 10, 400, 25, 10, 458.47, 7.43336491, 70, 6.193639, 841673, 43.2, 40.1
base-hc-64-3, 10, 400, 25, 10, 270.07, 4.36527939, , 0, , 39.8, 36.9
hc-64-3, 10, 400, 25, 10, 417.29, 7.26229601, 35, 9.810501, 419396, 42.8, 38.8
base-hc-64-3, 10, 400, 25, 10, 255.51, 4.33164019, , 0, , 40.8, 37.0
hc-64-3, 10, 400, 25, 10, 409.56, 7.20718650, 34, 10.350222, 411343, 43.2, 41.1
base-hc-64-3, 10, 400, 25, 10, 253.24, 4.33517216, , 0, , 43.5, 37.5
base-hc-64-3, 10, 200, 10, 10, 250.87, 4.34784276, , 0, , 43.2, 39.9
hc-64-3, 10, 200, 10, 10, 420.01, 7.24103864, 14, 6.06151300000001, 83860, 36.9, 33.0
base-hc-64-3, 10, 200, 10, 10, 255.37, 4.33645633, , 0, , 41.8, 38.8
hc-64-3, 10, 200, 10, 10, 427.57, 7.28036085, 18, 15.437616, 108051, 35.4, 33.0
base-hc-64-3, 10, 200, 10, 10, 253.14, 4.33892476, , 0, , 43.8, 39.8
hc-64-3, 10, 200, 10, 10, 417.47, 7.21874494, 39, 10.908152, 236035, 42.2, 38.5
base-hc-64-3, 10, 200, 10, 10, 248.68, 4.31647368, , 0, , 42.2, 37.0
hc-64-3, 10, 200, 10, 10, 418.31, 7.23481349, 28, 11.316978, 167030, 35.9, 33.2
base-hc-64-3, 10, 200, 10, 10, 249.85, 4.34240301, , 0, , 39.4, 33.8
