work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
intel, 10, 200, 10, 10, 31.12, 157.15, 26.46759562, 20, 4.27750100000003, 37364, 62.0
base-intel, 10, 200, 10, 10, 18.16, 109.32, 17.88793998, , 0, , 60.0
intel, 10, 200, 10, 10, 23.18, 149.14, 24.03464864, 16, 4.25739199999998, 29787, 60.0
base-intel, 10, 200, 10, 10, 20.03, 113.86, 18.63926651, , 0, , 59.0
intel, 10, 200, 10, 10, 28.98, 152.54, 25.98884277, 28, 4.47830500000003, 51998, 59.0
base-intel, 10, 200, 10, 10, 17.86, 108.55, 17.67174779, , 0, , 60.0
intel, 10, 200, 10, 10, 20.44, 145.23, 23.18234438, 20, 6.20973100000003, 37232, 58.0
base-intel, 10, 200, 10, 10, 15.73, 107.28, 17.14661913, , 0, , 59.0
intel, 10, 200, 10, 10, 20.41, 145.18, 23.00096474, 21, 6.07700299999999, 39138, 58.0
base-intel, 10, 200, 10, 10, 15.75, 108.76, 17.16778607, , 0, , 60.0
intel, 10, 200, 10, 10, 20.60, 145.26, 23.07452587, 18, 4.179328, 33578, 58.0
base-intel, 10, 200, 10, 10, 14.98, 105.12, 16.80565092, , 0, , 58.0
intel, 10, 200, 10, 10, 20.77, 143.47, 23.41746469, 23, 4.70953800000001, 42874, 60.0
base-intel, 10, 200, 10, 10, 15.18, 106.46, 16.93093178, , 0, , 62.0
intel, 10, 200, 10, 10, 21.04, 145.41, 23.56784482, 28, 3.41807399999999, 51855, 61.0
base-intel, 10, 200, 10, 10, 15.11, 106.41, 17.01355673, , 0, , 61.0
intel, 10, 200, 10, 10, 20.23, 146.49, 22.99386287, 15, 4.15586300000001, 27929, 62.0
base-intel, 10, 200, 10, 10, 15.10, 108.06, 16.90845633, , 0, , 62.0
intel, 10, 200, 10, 10, 20.81, 144.82, 23.31028726, 16, 6.49858599999999, 29968, 61.0
base-intel, 10, 200, 10, 10, 15.06, 105.42, 16.86737818, , 0, , 61.0
intel, 10, 200, 10, 10, 21.00, 145.91, 23.50129905, 33, 5.65806200000003, 60912, 59.0
base-intel, 10, 200, 10, 10, 15.02, 103.85, 16.83748456, , 0, , 60.0
intel, 10, 200, 10, 10, 20.32, 143.23, 23.11272680, 16, 2.14329300000003, 29951, 58.0
base-intel, 10, 200, 10, 10, 15.10, 106.55, 16.87445312, , 0, , 60.0
intel, 10, 200, 10, 10, 21.00, 146.20, 23.58292689, 28, 4.12109800000002, 52042, 60.0
