work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
balanced-4, 10, 200, 10, 10, 517.07, 9.45301899, 14, 9.45683600000001, 26225, 35.9, 33.9
base-balanced-4, 10, 200, 10, 10, 326.22, 6.76978768, , 0, , 34.0, 35.9
balanced-4, 10, 200, 10, 10, 459.35, 9.27633970, 25, 6.02936, 46410, 35.0, 32.5
base-balanced-4, 10, 200, 10, 10, 313.90, 6.70030790, , 0, , 33.5, 35.4
balanced-4, 10, 200, 10, 10, 504.59, 9.41269677, 25, 5.841447, 46526, 35.9, 33.0
base-balanced-4, 10, 200, 10, 10, 370.68, 6.88223601, , 0, , 39.6, 34.9
balanced-4, 10, 200, 10, 10, 478.80, 9.24562734, 15, 7.00742700000001, 28005, 34.0, 35.4
base-balanced-4, 10, 200, 10, 10, 361.17, 6.88255636, , 0, , 43.2, 33.0
balanced-4, 10, 200, 10, 10, 525.31, 9.41318976, 26, 6.44143100000001, 48322, 35.9, 35.9
base-balanced-4, 10, 200, 10, 10, 401.33, 6.98289136, , 0, , 35.4, 33.4
balanced-4, 10, 200, 10, 10, 510.27, 9.35091602, 21, 5.955124, 39188, 35.0, 36.2
base-balanced-4, 10, 200, 10, 10, 380.91, 6.94862019, , 0, , 36.4, 33.4
balanced-4, 10, 200, 10, 10, 497.54, 9.33462627, 23, 4.564097, 42723, 34.0, 34.9
base-balanced-4, 10, 200, 10, 10, 482.25, 7.38607169, , 0, , 34.5, 33.4
balanced-4, 10, 200, 10, 10, 468.39, 9.36662850, 20, 4.362881, 37123, 40.4, 38.0
base-balanced-4, 10, 200, 10, 10, 345.60, 6.86141439, , 0, , 34.0, 35.4
balanced-4, 10, 200, 10, 10, 608.27, 9.73883424, 31, 6.980653, 57683, 35.9, 33.0
base-balanced-4, 10, 200, 10, 10, 330.45, 6.82478646, , 0, , 33.0, 34.4
balanced-4, 10, 200, 10, 10, 631.79, 9.87093935, 24, 3.371651, 44735, 35.0, 33.4
base-balanced-4, 10, 200, 10, 10, 482.11, 7.34077270, , 0, , 47.4, 41.9
balanced-4, 10, 200, 10, 10, 650.74, 9.91448685, 16, 9.234948, 30141, 41.8, 38.5
base-balanced-4, 10, 200, 10, 10, 433.33, 7.23068301, , 0, , 41.5, 41.4
base-balanced-4, 10, 200, 25, 10, 394.95, 7.07443177, , 0, , 42.8, 39.9
balanced-4, 10, 200, 25, 10, 592.31, 9.84245075, 44, 6.940718, 81482, 35.0, 35.9
base-balanced-4, 10, 200, 25, 10, 435.43, 7.14125460, , 0, , 36.9, 34.4
balanced-4, 10, 200, 25, 10, 525.68, 9.52339071, 28, 8.047832, 52067, 34.0, 34.9
base-balanced-4, 10, 200, 25, 10, 527.90, 7.48417479, , 0, , 35.0, 33.9
balanced-4, 10, 200, 25, 10, 558.39, 9.71740656, 38, 3.641058, 70463, 44.6, 45.1
base-balanced-4, 10, 200, 25, 10, 370.38, 6.88905731, , 0, , 38.6, 33.2
balanced-4, 10, 200, 25, 10, 432.99, 9.13864254, 86, 4.339827, 159133, 33.5, 35.9
base-balanced-4, 10, 200, 25, 10, 347.79, 6.89152757, , 0, , 34.5, 32.5
balanced-4, 10, 200, 25, 10, 433.60, 9.11465555, 39, 5.40645400000001, 72410, 34.0, 36.2
base-balanced-4, 10, 200, 25, 10, 343.98, 6.87283337, , 0, , 33.5, 33.0
balanced-4, 10, 200, 25, 10, 450.03, 9.25874526, 29, 6.180193, 54021, 33.5, 35.4
base-balanced-4, 10, 200, 25, 10, 345.43, 6.87180079, , 0, , 34.8, 32.5
balanced-4, 10, 200, 25, 10, 423.71, 9.15543466, 49, 5.898735, 90624, 33.0, 34.9
base-balanced-4, 10, 200, 25, 10, 342.38, 6.85244487, , 0, , 35.0, 33.0
balanced-4, 10, 200, 25, 10, 422.75, 9.16892027, 28, 5.40345400000001, 52049, 33.5, 34.9
base-balanced-4, 10, 200, 25, 10, 341.01, 6.87562416, , 0, , 34.8, 32.5
balanced-4, 10, 200, 25, 10, 433.69, 9.19074906, 46, 4.508728, 85217, 34.0, 34.9
base-balanced-4, 10, 200, 25, 10, 351.54, 6.88598136, , 0, , 39.6, 35.1
balanced-4, 10, 200, 25, 10, 428.46, 9.17241068, 40, 5.642667, 74128, 33.5, 35.9
base-balanced-4, 10, 200, 25, 10, 340.20, 6.85031342, , 0, , 34.9, 33.0
balanced-4, 10, 200, 25, 10, 425.93, 9.16516887, 46, 7.401286, 85104, 33.2, 33.9
base-balanced-4, 10, 200, 25, 10, 343.01, 6.90797950, , 0, , 34.5, 33.0
balanced-4, 10, 200, 25, 10, 429.23, 9.14999723, 35, 5.304298, 64864, 32.5, 33.0
base-balanced-4, 10, 200, 25, 10, 346.77, 6.90916577, , 0, , 34.5, 32.5
balanced-4, 10, 200, 25, 10, 432.92, 9.17748301, 61, 6.00034000000001, 112875, 32.8, 33.4
base-balanced-4, 10, 200, 25, 10, 343.58, 6.87554987, , 0, , 35.0, 32.5
balanced-4, 10, 200, 25, 10, 423.29, 9.18808588, 34, 9.826384, 63012, 32.8, 34.9
base-balanced-4, 10, 200, 25, 10, 339.54, 6.85809905, , 0, , 35.0, 32.5
balanced-4, 10, 200, 25, 10, 450.01, 9.21386888, 100, 5.055245, 184881, 34.0, 34.9
base-balanced-4, 10, 200, 25, 10, 343.37, 6.88494295, , 0, , 33.5, 32.5
balanced-4, 10, 200, 25, 10, 426.90, 9.14133471, 31, 4.91705300000001, 57849, 33.0, 34.9
base-balanced-4, 10, 200, 25, 10, 343.63, 6.87414253, , 0, , 34.0, 32.0
balanced-4, 10, 200, 25, 10, 425.45, 9.19519792, 47, 4.520353, 87045, 33.0, 35.4
base-balanced-4, 10, 200, 25, 10, 345.17, 6.90461496, , 0, , 35.0, 32.5
balanced-4, 10, 200, 25, 10, 428.77, 9.11355987, 37, 5.430357, 68614, 32.5, 33.0
base-balanced-4, 10, 200, 25, 10, 342.35, 6.88649107, , 0, , 33.5, 33.0
balanced-4, 10, 200, 25, 10, 432.59, 9.16544617, 58, 6.177243, 107372, 32.5, 34.9
base-balanced-4, 10, 200, 25, 10, 339.82, 6.88089292, , 0, , 34.0, 33.0
balanced-4, 10, 200, 25, 10, 432.37, 9.14695774, 46, 4.42755600000001, 85242, 32.8, 34.4
base-balanced-4, 10, 200, 25, 10, 352.53, 6.87843151, , 0, , 33.5, 32.5
balanced-4, 10, 200, 25, 10, 446.03, 9.27345215, 48, 2.699044, 88977, 32.5, 34.9
base-balanced-4, 10, 200, 25, 10, 340.49, 6.84114586, , 0, , 35.4, 32.0
balanced-4, 10, 200, 25, 10, 426.98, 9.15891779, 32, 6.876335, 59350, 32.5, 33.4
base-balanced-4, 10, 200, 25, 10, 338.04, 6.86301254, , 0, , 34.5, 32.5
balanced-4, 10, 200, 25, 10, 427.52, 9.13418186, 28, 6.129414, 51927, 32.5, 33.9
base-balanced-4, 10, 200, 25, 10, 341.97, 6.85851779, , 0, , 34.8, 33.0
balanced-4, 10, 200, 25, 10, 420.63, 9.18315510, 37, 7.805533, 68647, 34.0, 34.4
base-balanced-4, 10, 200, 25, 10, 343.26, 6.88937648, , 0, , 35.8, 32.0
balanced-4, 10, 200, 25, 10, 429.55, 9.15371937, 54, 7.05421600000001, 99967, 33.0, 34.9
base-balanced-4, 10, 200, 25, 10, 336.55, 6.85721173, , 0, , 34.0, 32.0
balanced-4, 10, 200, 25, 10, 431.94, 9.17158231, 29, 10.873373, 53774, 32.5, 34.4
base-balanced-4, 10, 200, 25, 10, 350.94, 6.88848794, , 0, , 34.8, 32.5
balanced-4, 10, 200, 25, 10, 426.60, 9.14697003, 33, 4.841452, 61248, 32.8, 34.4
base-balanced-4, 10, 200, 25, 10, 342.72, 6.87319298, , 0, , 34.0, 32.5
balanced-4, 10, 200, 25, 10, 426.26, 9.11224180, 33, 3.657191, 61220, 32.5, 34.9
base-balanced-4, 10, 200, 25, 10, 347.39, 6.87133430, , 0, , 34.0, 32.5
balanced-4, 10, 200, 25, 10, 449.15, 9.21365069, 43, 6.09691600000001, 79769, 32.8, 35.4
base-balanced-4, 10, 200, 25, 10, 340.80, 6.86679817, , 0, , 33.0, 32.0
balanced-4, 10, 200, 25, 10, 421.14, 9.16228213, 55, 5.472779, 101695, 33.0, 34.4
base-balanced-4, 10, 200, 25, 10, 346.53, 6.89638548, , 0, , 34.0, 32.0
base-balanced-4, 5, 400, 10, 10, 319.10, 6.75693853, , 0, , 32.5, 35.4
balanced-4, 5, 400, 10, 10, 485.56, 9.37321692, 32, 0.152101000000002, 119697, 34.0, 32.5
base-balanced-4, 5, 400, 10, 10, 314.07, 6.71824669, , 0, , 33.0, 34.9
balanced-4, 5, 400, 10, 10, 467.44, 9.34062678, 32, 0.197044000000005, 119462, 34.0, 32.5
base-balanced-4, 5, 400, 10, 10, 341.59, 6.87123837, , 0, , 34.4, 33.9
