work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
cec-initial, 10, 400, 25, 10, 440.89, 9.04497577, 59, 2.37446899999998, 219000
base-cec-initial, 10, 400, 25, 10, 327.82, 6.59160091, , 0, 
cec-initial, 10, 400, 25, 10, 448.10, 9.05052625, 73, 4.23787899999996, 270424
base-cec-initial, 10, 400, 25, 10, 333.80, 6.58431443, , 0, 
cec-initial, 10, 400, 25, 10, 430.67, 9.00337982, 58, 4.384972, 215077
base-cec-initial, 10, 400, 25, 10, 325.50, 6.56644935, , 0, 
cec-initial, 10, 400, 25, 10, 452.07, 9.01278779, 44, 5.04072400000001, 163559
base-cec-initial, 10, 400, 25, 10, 325.68, 6.60172031, , 0, 
cec-initial, 10, 400, 25, 10, 463.62, 9.02331184, 36, 4.52245099999999, 134098
base-cec-initial, 10, 400, 25, 10, 340.61, 6.61908301, , 0, 
cec-initial, 10, 400, 25, 10, 442.62, 9.00853520, 31, 2.78475600000002, 115223
base-cec-initial, 10, 400, 25, 10, 329.24, 6.61109771, , 0, 
cec-initial, 10, 400, 25, 10, 446.39, 9.07561031, 71, 3.52308199999999, 263147
base-cec-initial, 10, 400, 25, 10, 316.53, 6.58400841, , 0, 
cec-initial, 10, 400, 25, 10, 443.53, 9.01926847, 42, 3.79092199999997, 155978
base-cec-initial, 10, 400, 25, 10, 334.66, 6.59711682, , 0, 
cec-initial, 10, 400, 25, 10, 452.24, 9.05092260, 59, 2.39717400000001, 218417
base-cec-initial, 10, 400, 25, 10, 344.20, 6.63999714, , 0, 
cec-initial, 10, 400, 25, 10, 450.62, 9.03439396, 38, 3.95416899999998, 141341
base-cec-initial, 10, 400, 25, 10, 331.06, 6.64756159, , 0, 
cec-initial, 10, 400, 25, 10, 462.24, 9.08039992, 52, 2.64108599999997, 193081
base-cec-initial, 10, 200, 10, 10, 330.94, 6.60571749, , 0, 
cec-initial, 10, 200, 10, 10, 441.09, 9.04270652, 26, 5.20173299999999, 48382
base-cec-initial, 10, 200, 10, 10, 335.84, 6.63017381, , 0, 
cec-initial, 10, 200, 10, 10, 466.29, 9.03632885, 19, 4.62010800000002, 35556
