work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-taskset-4, 10, 400, 25, 10, 372.78, 7.02903029, , 0, , 38.6, 32.0
taskset-4, 10, 400, 25, 10, 491.86, 9.44439005, 52, 4.941197, 192617, 37.6, 32.5
base-taskset-4, 10, 400, 25, 10, 370.26, 7.01089677, , 0, , 35.4, 32.0
taskset-4, 10, 400, 25, 10, 515.76, 9.45640229, 29, 4.941954, 107750, 58.1, 33.0
base-taskset-4, 10, 400, 25, 10, 357.10, 6.96370239, , 0, , 34.0, 32.5
taskset-4, 10, 400, 25, 10, 514.02, 9.56589254, 32, 6.173925, 118499, 40.4, 33.0
base-taskset-4, 10, 400, 25, 10, 471.36, 7.38665525, , 0, , 51.6, 37.8
taskset-4, 10, 400, 25, 10, 652.86, 10.00562595, 31, 8.518856, 115279, 36.4, 33.4
base-taskset-4, 10, 400, 25, 10, 399.73, 7.11541776, , 0, , 37.9, 33.4
taskset-4, 10, 400, 25, 10, 536.05, 9.60013397, 34, 2.854602, 126216, 36.1, 33.0
base-taskset-4, 10, 400, 25, 10, 420.22, 7.17452407, , 0, , 37.6, 33.4
taskset-4, 10, 400, 25, 10, 544.79, 9.64825215, 45, 6.49589, 166697, 38.6, 33.5
base-taskset-4, 10, 400, 25, 10, 382.93, 7.02832498, , 0, , 35.2, 32.0
taskset-4, 10, 400, 25, 10, 550.54, 9.67344247, 28, 7.013071, 104297, 53.6, 32.5
base-taskset-4, 10, 400, 25, 10, 436.54, 7.22276356, , 0, , 37.4, 33.0
base-taskset-4, 10, 200, 10, 10, 387.21, 7.04693217, , 0, , 34.5, 32.5
taskset-4, 10, 200, 10, 10, 510.20, 9.54129823, 23, 6.469042, 42615, 39.9, 34.6
base-taskset-4, 10, 200, 10, 10, 425.06, 7.17654651, , 0, , 36.9, 33.0
taskset-4, 10, 200, 10, 10, 506.23, 9.40976269, 18, 4.017071, 33656, 37.4, 33.8
base-taskset-4, 10, 200, 10, 10, 363.61, 7.00300547, , 0, , 34.0, 32.5
taskset-4, 10, 200, 10, 10, 509.46, 9.49067716, 16, 8.481338, 29878, 36.6, 33.0
base-taskset-4, 10, 200, 10, 10, 426.66, 7.15511102, , 0, , 35.9, 32.5
taskset-4, 10, 200, 10, 10, 555.62, 9.58991100, 15, 9.734917, 28047, 40.8, 34.4
base-taskset-4, 10, 200, 10, 10, 382.15, 7.04935225, , 0, , 37.9, 35.9
taskset-4, 10, 200, 10, 10, 551.22, 9.61433622, 17, 9.544809, 31765, 36.6, 33.9
base-taskset-4, 10, 200, 10, 10, 402.33, 7.07934244, , 0, , 36.4, 32.5
taskset-4, 10, 200, 10, 10, 546.22, 9.59394550, 23, 8.457473, 42781, 35.8, 32.0
base-taskset-4, 10, 200, 10, 10, 380.25, 7.06395877, , 0, , 57.5, 33.9
taskset-4, 10, 200, 10, 10, 752.38, 10.38426039, 23, 5.973081, 42827, 35.9, 32.5
base-taskset-4, 10, 200, 10, 10, 434.33, 7.41486554, , 0, , 36.4, 33.4
taskset-4, 10, 200, 10, 10, 533.15, 9.71248149, 28, 8.079424, 51934, 34.0, 32.5
base-taskset-4, 10, 200, 10, 10, 450.37, 7.36976989, , 0, , 34.8, 33.0
taskset-4, 10, 200, 10, 10, 663.38, 10.20468309, 21, 6.891971, 39229, 40.8, 34.6
base-taskset-4, 10, 200, 10, 10, 530.59, 7.62848351, , 0, , 44.6, 38.5
taskset-4, 10, 200, 10, 10, 463.31, 9.40407499, 17, 7.190592, 31795, 37.9, 35.9
base-taskset-4, 10, 200, 10, 10, 338.95, 6.95535845, , 0, , 36.9, 33.0
taskset-4, 10, 200, 10, 10, 459.32, 9.39614298, 21, 12.047451, 39178, 36.4, 33.0
base-taskset-4, 10, 200, 10, 10, 326.39, 6.98658183, , 0, , 38.4, 34.9
taskset-4, 10, 200, 10, 10, 451.63, 9.31234570, 13, 12.259106, 24406, 37.9, 33.5
base-taskset-4, 10, 200, 10, 10, 327.80, 6.90315722, , 0, , 36.9, 34.4
taskset-4, 10, 200, 10, 10, 456.76, 9.34162091, 27, 4.189311, 50171, 39.4, 35.1
base-taskset-4, 10, 200, 10, 10, 325.14, 6.94194442, , 0, , 35.9, 35.1
taskset-4, 10, 200, 10, 10, 444.24, 9.34693122, 24, 5.279871, 44635, 42.2, 37.2
base-taskset-4, 10, 200, 10, 10, 339.48, 6.92952963, , 0, , 36.9, 34.0
taskset-4, 10, 200, 10, 10, 458.21, 9.32163072, 26, 9.747138, 48228, 34.2, 33.0
base-taskset-4, 10, 200, 10, 10, 339.50, 6.93300896, , 0, , 44.2, 41.6
