work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-5, 10, 200, 10, 10, 747.82, 9.91131648, 23, 4.884097, 43015, 37.4, 38.8
base-taskset-5, 10, 200, 10, 10, 592.20, 7.55678027, , 0, , 38.4, 36.1
taskset-5, 10, 200, 10, 10, 782.29, 10.15162555, 18, 8.70678600000001, 33718, 40.6, 38.2
base-taskset-5, 10, 200, 10, 10, 570.06, 7.42425671, , 0, , 36.9, 37.2
taskset-5, 10, 200, 10, 10, 761.59, 9.97064111, 20, 5.68759700000001, 37291, 54.8, 39.9
base-taskset-5, 10, 200, 10, 10, 593.41, 7.52336575, , 0, , 39.4, 38.2
taskset-5, 10, 200, 10, 10, 755.16, 9.98955539, 20, 8.43747, 37385, 39.4, 37.8
base-taskset-5, 10, 200, 10, 10, 547.52, 7.27438650, , 0, , 37.4, 38.2
taskset-5, 10, 200, 10, 10, 749.10, 9.99524366, 22, 4.123406, 41069, 38.4, 37.8
base-taskset-5, 10, 200, 10, 10, 538.71, 7.22136395, , 0, , 37.6, 38.5
taskset-5, 10, 200, 10, 10, 726.06, 9.81948092, 12, 8.052813, 22585, 36.9, 37.2
base-taskset-5, 10, 200, 10, 10, 670.59, 7.84183522, , 0, , 40.8, 38.8
taskset-5, 10, 200, 10, 10, 837.54, 10.29707171, 15, 4.753439, 28137, 43.8, 42.2
base-taskset-5, 10, 200, 10, 10, 563.30, 7.37201010, , 0, , 47.6, 42.2
taskset-5, 10, 200, 10, 10, 940.94, 10.77173210, 12, 3.281842, 22556, 36.9, 37.8
base-taskset-5, 10, 200, 10, 10, 931.91, 8.84140532, , 0, , 44.8, 41.6
taskset-5, 10, 200, 10, 10, 791.43, 9.97037479, 21, 5.325795, 39320, 48.1, 43.0
base-taskset-5, 10, 200, 10, 10, 632.38, 7.67667278, , 0, , 39.4, 39.2
taskset-5, 10, 200, 10, 10, 849.98, 10.34721537, 16, 8.644299, 30061, 45.8, 43.8
base-taskset-5, 10, 200, 10, 10, 658.86, 7.82487120, , 0, , 39.9, 39.4
taskset-5, 10, 200, 10, 10, 1051.93, 11.43635678, 12, 12.3396, 22595, 40.4, 38.8
base-taskset-5, 10, 200, 10, 10, 860.41, 8.78311798, , 0, , 43.8, 44.0
taskset-5, 10, 200, 10, 10, 897.55, 10.70552692, 22, 6.82022600000001, 41004, 46.2, 45.5
base-taskset-5, 10, 200, 10, 10, 620.80, 7.64707479, , 0, , 56.6, 46.9
taskset-5, 10, 200, 10, 10, 854.86, 10.46590429, 13, 13.105738, 24370, 46.6, 41.1
base-taskset-5, 10, 200, 10, 10, 644.24, 7.77806032, , 0, , 41.2, 39.2
taskset-5, 10, 200, 10, 10, 970.28, 11.01366886, 14, 9.21915300000001, 26264, 42.0, 41.5
base-taskset-5, 10, 200, 10, 10, 661.24, 7.75430037, , 0, , 54.5, 49.5
taskset-5, 10, 200, 10, 10, 794.85, 10.19256037, 35, 7.012275, 64951, 37.9, 38.2
base-taskset-5, 10, 200, 10, 10, 617.07, 7.55141040, , 0, , 39.1, 40.1
taskset-5, 10, 200, 10, 10, 783.29, 10.04061618, 28, 6.505714, 52066, 37.6, 37.8
base-taskset-5, 10, 200, 10, 10, 528.19, 7.17984628, , 0, , 38.9, 37.8
taskset-5, 10, 200, 10, 10, 914.00, 10.81563765, 12, 2.95823900000001, 22650, 41.2, 39.2
base-taskset-5, 10, 200, 10, 10, 749.29, 8.24530033, , 0, , 44.2, 42.8
taskset-5, 10, 200, 10, 10, 1046.11, 11.54660060, 21, 6.58372300000001, 39261, 46.2, 43.0
base-taskset-5, 10, 200, 10, 10, 731.65, 8.21708022, , 0, , 47.1, 45.1
taskset-5, 10, 200, 10, 10, 1045.67, 11.55084293, 16, 5.917113, 29863, 41.2, 40.1
base-taskset-5, 10, 200, 10, 10, 732.63, 8.20756676, , 0, , 40.5, 40.1
taskset-5, 10, 200, 10, 10, 1022.83, 11.48349885, 16, 10.715359, 29858, 42.0, 40.6
base-taskset-5, 10, 200, 10, 10, 766.84, 8.46390981, , 0, , 40.5, 40.1
taskset-5, 10, 200, 10, 10, 1041.72, 11.51403613, 20, 5.37418600000001, 37367, 46.8, 45.1
base-taskset-5, 10, 200, 10, 10, 739.90, 8.25556807, , 0, , 46.2, 44.5
taskset-5, 10, 200, 10, 10, 1053.99, 11.45514405, 14, 9.226811, 26280, 40.4, 40.1
base-taskset-5, 10, 200, 10, 10, 632.37, 7.64401227, , 0, , 43.6, 40.1
taskset-5, 10, 200, 10, 10, 749.53, 9.93463173, 20, 7.27058100000001, 37249, 45.2, 43.2
base-taskset-5, 10, 200, 10, 10, 518.86, 7.15100610, , 0, , 37.9, 38.2
taskset-5, 10, 200, 10, 10, 847.42, 10.41507400, 19, 9.00805700000001, 35388, 39.8, 37.2
base-taskset-5, 10, 200, 10, 10, 728.74, 8.08063155, , 0, , 37.9, 38.2
taskset-5, 10, 200, 10, 10, 892.68, 10.69352850, 23, 8.71072600000001, 42950, 50.5, 46.6
base-taskset-5, 10, 200, 10, 10, 563.02, 7.36988921, , 0, , 45.6, 45.6
